區域名稱,成交價/售價,總價格,每坪價格,坪數,屋齡,房屋規格,住宅類型,樓層
大同區,24869000,24869000,1938045.0,12.83,43,住宅大樓(11層含以上有電梯),商業用,一層
大同區,47500000,47500000,950460.0,49.98,14,住宅大樓(11層含以上有電梯),辦公用,十七層
大同區,4200000,4200000,569497.0,7.37,54,公寓(5樓含以下無電梯),住家用,三層，露台
大同區,19000000,19000000,752579.0,25.25,39,公寓(5樓含以下無電梯),住家用,四層
大同區,4160000,4160000,653619.0,6.36,20,公寓(5樓含以下無電梯),住家用,三層
大同區,59280000,59280000,1098702.0,61.06,3,住宅大樓(11層含以上有電梯),住家用,六層
大同區,6100000,6100000,525004.0,11.62,44,住宅大樓(11層含以上有電梯),住家用,八層
大同區,6240000,6240000,729944.0,8.55,51,公寓(5樓含以下無電梯),住家用,四層
大同區,25880000,25880000,629444.0,41.12,43,華廈(10層含以下有電梯),住家用,五層
大同區,11580000,11580000,970864.0,11.93,17,住宅大樓(11層含以上有電梯),住家用,五層
大同區,13800000,13800000,1159635.0,11.9,2,住宅大樓(11層含以上有電梯),住家用,十層
大同區,9270000,9270000,1399943.0,6.62,47,住宅大樓(11層含以上有電梯),商業用,一層，騎樓
大同區,9000000,9000000,482442.0,18.66,48,住宅大樓(11層含以上有電梯),住家用,十一層
大同區,13880000,13880000,896883.0,15.48,4,住宅大樓(11層含以上有電梯),住家用,二層
大同區,22880000,22880000,705894.0,32.41,47,住宅大樓(11層含以上有電梯),住家用,十二層
大同區,77420000,77420000,1000193.0,86.86,21,住宅大樓(11層含以上有電梯),辦公用,七層
大同區,13880000,13880000,660019.0,21.03,57,公寓(5樓含以下無電梯),住家用,一層，騎樓
大同區,10660000,10660000,1015558.0,10.5,16,住宅大樓(11層含以上有電梯),住家用,八層
大同區,5500000,5500000,565008.0,9.73,48,公寓(5樓含以下無電梯),住家用,二層
大同區,10500000,10500000,1078649.0,9.73,48,公寓(5樓含以下無電梯),住家用,一層
大同區,36020000,36020000,909948.0,49.1,2,住宅大樓(11層含以上有電梯),住家用,十四層
大同區,4000000,4000000,329099.0,12.15,39,住宅大樓(11層含以上有電梯),商業用,三層
大同區,9500000,9500000,1049284.0,9.05,46,住宅大樓(11層含以上有電梯),住家用,九層
大同區,15330000,15330000,960537.0,15.96,49,住宅大樓(11層含以上有電梯),住家用,十層
大同區,12000000,12000000,719435.0,16.68,49,住宅大樓(11層含以上有電梯),商業用,六層
大同區,8860000,8860000,589560.0,15.03,46,住宅大樓(11層含以上有電梯),住家用,十一層
大同區,9700000,9700000,633722.0,15.31,59,公寓(5樓含以下無電梯),住家用,四層
大同區,5780000,5780000,649253.0,8.9,47,住宅大樓(11層含以上有電梯),住商用,九層
大同區,8000000,8000000,863415.0,9.27,2,住宅大樓(11層含以上有電梯),住家用,八層
大同區,47600000,47600000,480392.0,102.71,34,華廈(10層含以下有電梯),商業用,九層
大同區,8450000,8450000,750916.0,11.25,43,住宅大樓(11層含以上有電梯),住家用,九層
大同區,41800000,41800000,1357659.0,30.79,7,住宅大樓(11層含以上有電梯),住家用,十八層
大同區,5500000,5500000,223859.0,24.57,42,公寓(5樓含以下無電梯),住家用,五層
大同區,14500000,14500000,1556807.0,9.31,76,透天厝,住家用,全
大同區,66000000,66000000,809729.0,87.73,2,住宅大樓(11層含以上有電梯),住家用,二十三層
大同區,29800000,29800000,1163628.0,25.61,2,住宅大樓(11層含以上有電梯),住家用,三層
大同區,8000000,8000000,822083.0,9.73,30,華廈(10層含以下有電梯),商業用,二層
大同區,5000000,5000000,486862.0,10.27,32,華廈(10層含以下有電梯),商業用,地下一層
大同區,28000000,28000000,568565.0,49.25,54,華廈(10層含以下有電梯),住家用,四層
大同區,63080000,63080000,620532.0,101.65,44,住宅大樓(11層含以上有電梯),商業用,六層
大同區,9500000,9500000,1120812.0,8.48,32,透天厝,商業用,全
大同區,18600000,18600000,357945.0,51.96,46,住宅大樓(11層含以上有電梯),其他,一層，二層，騎樓
大同區,8000000,8000000,390987.0,20.46,50,華廈(10層含以下有電梯),住家用,三層
大同區,29800000,29800000,731458.0,40.74,45,住宅大樓(11層含以上有電梯),住家用,十層
大同區,39800000,39800000,1027185.0,59.13,2,住宅大樓(11層含以上有電梯),住家用,十三層
大同區,24300000,24300000,630343.0,38.55,39,公寓(5樓含以下無電梯),住家用,三層
大同區,15400000,15400000,584627.0,26.34,59,公寓(5樓含以下無電梯),住家用,二層
大同區,21500000,21500000,875842.0,24.55,49,公寓(5樓含以下無電梯),住家用,二層
大同區,22270000,22270000,986599.0,22.57,2,住宅大樓(11層含以上有電梯),住家用,七層
大同區,49000000,49000000,1348072.0,36.35,32,住宅大樓(11層含以上有電梯),商業用,一層
大同區,12000000,12000000,362445.0,33.11,42,公寓(5樓含以下無電梯),住家用,五層
大同區,28880000,28880000,793438.0,42.0,4,住宅大樓(11層含以上有電梯),辦公用,三層
大同區,13860000,13860000,645967.0,21.46,57,公寓(5樓含以下無電梯),住家用,二層
大同區,18000000,18000000,749425.0,24.02,43,住宅大樓(11層含以上有電梯),住家用,九層
大同區,14120000,14120000,1186524.0,11.9,2,住宅大樓(11層含以上有電梯),住家用,十層
大同區,24500000,24500000,709087.0,34.55,20,住宅大樓(11層含以上有電梯),住家用,九層
大同區,9580000,9580000,831660.0,11.52,49,住宅大樓(11層含以上有電梯),商業用,八層
大同區,10500000,10500000,741051.0,14.17,31,華廈(10層含以下有電梯),商業用,六層
大同區,8200000,8200000,581332.0,14.11,43,公寓(5樓含以下無電梯),商業用,一層
大同區,15900000,15900000,1022811.0,15.55,5,住宅大樓(11層含以上有電梯),住家用,十二層
大同區,16200000,16200000,916391.0,17.68,37,住宅大樓(11層含以上有電梯),商業用,七層
大同區,39500000,39500000,637408.0,61.97,26,住宅大樓(11層含以上有電梯),商業用,五層
大同區,15000000,15000000,691203.0,21.7,49,華廈(10層含以下有電梯),商業用,三層
大同區,20000000,20000000,196966.0,101.54,13,住宅大樓(11層含以上有電梯),住家用,二層
大同區,15280000,15280000,1284002.0,11.9,2,住宅大樓(11層含以上有電梯),住家用,十二層
大同區,26000000,26000000,712162.0,36.51,41,住宅大樓(11層含以上有電梯),住家用,十二層
大同區,80200000,80200000,915488.0,87.6,36,華廈(10層含以下有電梯),商業用,一層
大同區,12000000,12000000,355400.0,33.76,2,住宅大樓(11層含以上有電梯),住家用,七層
大同區,6300000,6300000,568875.0,11.07,51,公寓(5樓含以下無電梯),住家用,五層
大同區,58260000,58260000,901640.0,70.8,14,住宅大樓(11層含以上有電梯),辦公用,十二層
大同區,49980000,49980000,1000084.0,49.98,14,住宅大樓(11層含以上有電梯),辦公用,十層
大同區,6000000,6000000,541788.0,11.07,51,公寓(5樓含以下無電梯),住家用,五層
大同區,8000000,8000000,434118.0,18.43,47,公寓(5樓含以下無電梯),住家用,四層
大同區,29800000,29800000,862106.0,34.57,13,住宅大樓(11層含以上有電梯),住家用,八層
大同區,7000000,7000000,777051.0,9.01,31,華廈(10層含以下有電梯),商業用,三層
大同區,89380000,89380000,1222452.0,83.03,4,住宅大樓(11層含以上有電梯),住家用,五層
大同區,10000000,10000000,841171.0,11.89,47,華廈(10層含以下有電梯),商業用,七層
大同區,7400000,7400000,642410.0,11.52,49,住宅大樓(11層含以上有電梯),商業用,七層
大同區,37680000,37680000,1149787.0,36.81,7,住宅大樓(11層含以上有電梯),住家用,八層
大同區,13130000,13130000,580360.0,22.62,55,公寓(5樓含以下無電梯),住家用,三層
