物件編號,物件名稱,地區,地址,格局,坪數,樓層,屋齡,類型,價格
QS46199,西門町來來大廈電梯套房,台北市萬華區,台北市萬華區開封街二段​,,11.8坪,6樓/9樓,45.1年,華廈,928萬 → 728萬
YS197336,高樓河岸美景,台北市萬華區,台北市萬華區水源路​,3房(室)2廳2衛,44.13坪,16樓/16樓,28.4年,大樓,2868萬
YS197405,稀有方正邊間低樓層,台北市北投區,台北市北投區民族街​,3房(室)2廳3衛,33.25坪,2樓/4樓,52.3年,公寓,1658萬
WS71094,JZ8林森南京整層商辦,台北市中山區,台北市中山區林森北路​,1房(室)2廳1衛,51.63坪,6樓/12樓,37.3年,大樓,3800萬
ZS187442,白色康寧公寓頂加,台北市內湖區,台北市內湖區康寧路三段​,3房(室)2廳2衛,46.51坪,5樓/5樓,38.9年,公寓,2980萬 → 2300萬
WS71280,文普世貿高樓景觀四房,台北市大安區,台北市大安區基隆路二段​,4房(室)2廳2衛,50.15坪,8樓/12樓,44.7年,大樓,5698萬
ZS200742,民生社區四房美廈,台北市松山區,台北市松山區民生東路五段​,4房(室)2廳2衛,56.78坪,5樓/15樓,43.2年,大樓,4960萬
YS197298,陽明春曉農夫樂土,台北市士林區,台北市士林區力行段二小段​,,330.39坪,,,,368萬
YS189322,低總價捷運溫馨套房,台北市北投區,台北市北投區光明路​,1房(室)1廳1衛,7.69坪,5樓/14樓,21年,大樓,738萬 → 568萬
WS52060,光南靜巷高樓美2房,台北市信義區,台北市信義區基隆路一段​,2房(室)2廳2衛,32.72坪,10樓/12樓,42.5年,大樓,3588萬 → 3288萬
QS46199,西門町來來大廈電梯套房,台北市萬華區,台北市萬華區開封街二段​,,11.8坪,6樓/9樓,45.1年,華廈,928萬 → 728萬
YS197336,高樓河岸美景,台北市萬華區,台北市萬華區水源路​,3房(室)2廳2衛,44.13坪,16樓/16樓,28.4年,大樓,2868萬
YS197405,稀有方正邊間低樓層,台北市北投區,台北市北投區民族街​,3房(室)2廳3衛,33.25坪,2樓/4樓,52.3年,公寓,1658萬
WS71094,JZ8林森南京整層商辦,台北市中山區,台北市中山區林森北路​,1房(室)2廳1衛,51.63坪,6樓/12樓,37.3年,大樓,3800萬
ZS187442,白色康寧公寓頂加,台北市內湖區,台北市內湖區康寧路三段​,3房(室)2廳2衛,46.51坪,5樓/5樓,38.9年,公寓,2980萬 → 2300萬
WS71280,文普世貿高樓景觀四房,台北市大安區,台北市大安區基隆路二段​,4房(室)2廳2衛,50.15坪,8樓/12樓,44.7年,大樓,5698萬
ZS200742,民生社區四房美廈,台北市松山區,台北市松山區民生東路五段​,4房(室)2廳2衛,56.78坪,5樓/15樓,43.2年,大樓,4960萬
YS197298,陽明春曉農夫樂土,台北市士林區,台北市士林區力行段二小段​,,330.39坪,,,,368萬
YS189322,低總價捷運溫馨套房,台北市北投區,台北市北投區光明路​,1房(室)1廳1衛,7.69坪,5樓/14樓,21年,大樓,738萬 → 568萬
WS52060,光南靜巷高樓美2房,台北市信義區,台北市信義區基隆路一段​,2房(室)2廳2衛,32.72坪,10樓/12樓,42.5年,大樓,3588萬 → 3288萬
QS46199,西門町來來大廈電梯套房,台北市萬華區,台北市萬華區開封街二段​,,11.8坪,6樓/9樓,45.1年,華廈,928萬 → 728萬
YS197336,高樓河岸美景,台北市萬華區,台北市萬華區水源路​,3房(室)2廳2衛,44.13坪,16樓/16樓,28.4年,大樓,2868萬
YS197405,稀有方正邊間低樓層,台北市北投區,台北市北投區民族街​,3房(室)2廳3衛,33.25坪,2樓/4樓,52.3年,公寓,1658萬
WS71094,JZ8林森南京整層商辦,台北市中山區,台北市中山區林森北路​,1房(室)2廳1衛,51.63坪,6樓/12樓,37.3年,大樓,3800萬
ZS187442,白色康寧公寓頂加,台北市內湖區,台北市內湖區康寧路三段​,3房(室)2廳2衛,46.51坪,5樓/5樓,38.9年,公寓,2980萬 → 2300萬
WS71280,文普世貿高樓景觀四房,台北市大安區,台北市大安區基隆路二段​,4房(室)2廳2衛,50.15坪,8樓/12樓,44.7年,大樓,5698萬
ZS200742,民生社區四房美廈,台北市松山區,台北市松山區民生東路五段​,4房(室)2廳2衛,56.78坪,5樓/15樓,43.2年,大樓,4960萬
YS197298,陽明春曉農夫樂土,台北市士林區,台北市士林區力行段二小段​,,330.39坪,,,,368萬
YS189322,低總價捷運溫馨套房,台北市北投區,台北市北投區光明路​,1房(室)1廳1衛,7.69坪,5樓/14樓,21年,大樓,738萬 → 568萬
WS52060,光南靜巷高樓美2房,台北市信義區,台北市信義區基隆路一段​,2房(室)2廳2衛,32.72坪,10樓/12樓,42.5年,大樓,3588萬 → 3288萬
QS46199,西門町來來大廈電梯套房,台北市萬華區,台北市萬華區開封街二段​,,11.8坪,6樓/9樓,45.1年,華廈,928萬 → 728萬
YS197336,高樓河岸美景,台北市萬華區,台北市萬華區水源路​,3房(室)2廳2衛,44.13坪,16樓/16樓,28.4年,大樓,2868萬
YS197405,稀有方正邊間低樓層,台北市北投區,台北市北投區民族街​,3房(室)2廳3衛,33.25坪,2樓/4樓,52.3年,公寓,1658萬
WS71094,JZ8林森南京整層商辦,台北市中山區,台北市中山區林森北路​,1房(室)2廳1衛,51.63坪,6樓/12樓,37.3年,大樓,3800萬
ZS187442,白色康寧公寓頂加,台北市內湖區,台北市內湖區康寧路三段​,3房(室)2廳2衛,46.51坪,5樓/5樓,38.9年,公寓,2980萬 → 2300萬
WS71280,文普世貿高樓景觀四房,台北市大安區,台北市大安區基隆路二段​,4房(室)2廳2衛,50.15坪,8樓/12樓,44.7年,大樓,5698萬
ZS200742,民生社區四房美廈,台北市松山區,台北市松山區民生東路五段​,4房(室)2廳2衛,56.78坪,5樓/15樓,43.2年,大樓,4960萬
YS197298,陽明春曉農夫樂土,台北市士林區,台北市士林區力行段二小段​,,330.39坪,,,,368萬
YS189322,低總價捷運溫馨套房,台北市北投區,台北市北投區光明路​,1房(室)1廳1衛,7.69坪,5樓/14樓,21年,大樓,738萬 → 568萬
WS52060,光南靜巷高樓美2房,台北市信義區,台北市信義區基隆路一段​,2房(室)2廳2衛,32.72坪,10樓/12樓,42.5年,大樓,3588萬 → 3288萬
QS46199,西門町來來大廈電梯套房,台北市萬華區,台北市萬華區開封街二段​,,11.8坪,6樓/9樓,45.1年,華廈,928萬 → 728萬
YS197336,高樓河岸美景,台北市萬華區,台北市萬華區水源路​,3房(室)2廳2衛,44.13坪,16樓/16樓,28.4年,大樓,2868萬
YS197405,稀有方正邊間低樓層,台北市北投區,台北市北投區民族街​,3房(室)2廳3衛,33.25坪,2樓/4樓,52.3年,公寓,1658萬
WS71094,JZ8林森南京整層商辦,台北市中山區,台北市中山區林森北路​,1房(室)2廳1衛,51.63坪,6樓/12樓,37.3年,大樓,3800萬
ZS187442,白色康寧公寓頂加,台北市內湖區,台北市內湖區康寧路三段​,3房(室)2廳2衛,46.51坪,5樓/5樓,38.9年,公寓,2980萬 → 2300萬
WS71280,文普世貿高樓景觀四房,台北市大安區,台北市大安區基隆路二段​,4房(室)2廳2衛,50.15坪,8樓/12樓,44.7年,大樓,5698萬
ZS200742,民生社區四房美廈,台北市松山區,台北市松山區民生東路五段​,4房(室)2廳2衛,56.78坪,5樓/15樓,43.2年,大樓,4960萬
YS197298,陽明春曉農夫樂土,台北市士林區,台北市士林區力行段二小段​,,330.39坪,,,,368萬
YS189322,低總價捷運溫馨套房,台北市北投區,台北市北投區光明路​,1房(室)1廳1衛,7.69坪,5樓/14樓,21年,大樓,738萬 → 568萬
WS52060,光南靜巷高樓美2房,台北市信義區,台北市信義區基隆路一段​,2房(室)2廳2衛,32.72坪,10樓/12樓,42.5年,大樓,3588萬 → 3288萬
QS46199,西門町來來大廈電梯套房,台北市萬華區,台北市萬華區開封街二段​,,11.8坪,6樓/9樓,45.1年,華廈,928萬 → 728萬
YS197336,高樓河岸美景,台北市萬華區,台北市萬華區水源路​,3房(室)2廳2衛,44.13坪,16樓/16樓,28.4年,大樓,2868萬
YS197405,稀有方正邊間低樓層,台北市北投區,台北市北投區民族街​,3房(室)2廳3衛,33.25坪,2樓/4樓,52.3年,公寓,1658萬
WS71094,JZ8林森南京整層商辦,台北市中山區,台北市中山區林森北路​,1房(室)2廳1衛,51.63坪,6樓/12樓,37.3年,大樓,3800萬
ZS187442,白色康寧公寓頂加,台北市內湖區,台北市內湖區康寧路三段​,3房(室)2廳2衛,46.51坪,5樓/5樓,38.9年,公寓,2980萬 → 2300萬
WS71280,文普世貿高樓景觀四房,台北市大安區,台北市大安區基隆路二段​,4房(室)2廳2衛,50.15坪,8樓/12樓,44.7年,大樓,5698萬
ZS200742,民生社區四房美廈,台北市松山區,台北市松山區民生東路五段​,4房(室)2廳2衛,56.78坪,5樓/15樓,43.2年,大樓,4960萬
YS197298,陽明春曉農夫樂土,台北市士林區,台北市士林區力行段二小段​,,330.39坪,,,,368萬
YS189322,低總價捷運溫馨套房,台北市北投區,台北市北投區光明路​,1房(室)1廳1衛,7.69坪,5樓/14樓,21年,大樓,738萬 → 568萬
WS52060,光南靜巷高樓美2房,台北市信義區,台北市信義區基隆路一段​,2房(室)2廳2衛,32.72坪,10樓/12樓,42.5年,大樓,3588萬 → 3288萬
QS46199,西門町來來大廈電梯套房,台北市萬華區,台北市萬華區開封街二段​,,11.8坪,6樓/9樓,45.1年,華廈,928萬 → 728萬
YS197336,高樓河岸美景,台北市萬華區,台北市萬華區水源路​,3房(室)2廳2衛,44.13坪,16樓/16樓,28.4年,大樓,2868萬
YS197405,稀有方正邊間低樓層,台北市北投區,台北市北投區民族街​,3房(室)2廳3衛,33.25坪,2樓/4樓,52.3年,公寓,1658萬
WS71094,JZ8林森南京整層商辦,台北市中山區,台北市中山區林森北路​,1房(室)2廳1衛,51.63坪,6樓/12樓,37.3年,大樓,3800萬
ZS187442,白色康寧公寓頂加,台北市內湖區,台北市內湖區康寧路三段​,3房(室)2廳2衛,46.51坪,5樓/5樓,38.9年,公寓,2980萬 → 2300萬
WS71280,文普世貿高樓景觀四房,台北市大安區,台北市大安區基隆路二段​,4房(室)2廳2衛,50.15坪,8樓/12樓,44.7年,大樓,5698萬
ZS200742,民生社區四房美廈,台北市松山區,台北市松山區民生東路五段​,4房(室)2廳2衛,56.78坪,5樓/15樓,43.2年,大樓,4960萬
YS197298,陽明春曉農夫樂土,台北市士林區,台北市士林區力行段二小段​,,330.39坪,,,,368萬
YS189322,低總價捷運溫馨套房,台北市北投區,台北市北投區光明路​,1房(室)1廳1衛,7.69坪,5樓/14樓,21年,大樓,738萬 → 568萬
WS52060,光南靜巷高樓美2房,台北市信義區,台北市信義區基隆路一段​,2房(室)2廳2衛,32.72坪,10樓/12樓,42.5年,大樓,3588萬 → 3288萬
QS46199,西門町來來大廈電梯套房,台北市萬華區,台北市萬華區開封街二段​,,11.8坪,6樓/9樓,45.1年,華廈,928萬 → 728萬
YS197336,高樓河岸美景,台北市萬華區,台北市萬華區水源路​,3房(室)2廳2衛,44.13坪,16樓/16樓,28.4年,大樓,2868萬
YS197405,稀有方正邊間低樓層,台北市北投區,台北市北投區民族街​,3房(室)2廳3衛,33.25坪,2樓/4樓,52.3年,公寓,1658萬
WS71094,JZ8林森南京整層商辦,台北市中山區,台北市中山區林森北路​,1房(室)2廳1衛,51.63坪,6樓/12樓,37.3年,大樓,3800萬
ZS187442,白色康寧公寓頂加,台北市內湖區,台北市內湖區康寧路三段​,3房(室)2廳2衛,46.51坪,5樓/5樓,38.9年,公寓,2980萬 → 2300萬
WS71280,文普世貿高樓景觀四房,台北市大安區,台北市大安區基隆路二段​,4房(室)2廳2衛,50.15坪,8樓/12樓,44.7年,大樓,5698萬
ZS200742,民生社區四房美廈,台北市松山區,台北市松山區民生東路五段​,4房(室)2廳2衛,56.78坪,5樓/15樓,43.2年,大樓,4960萬
YS197298,陽明春曉農夫樂土,台北市士林區,台北市士林區力行段二小段​,,330.39坪,,,,368萬
YS189322,低總價捷運溫馨套房,台北市北投區,台北市北投區光明路​,1房(室)1廳1衛,7.69坪,5樓/14樓,21年,大樓,738萬 → 568萬
WS52060,光南靜巷高樓美2房,台北市信義區,台北市信義區基隆路一段​,2房(室)2廳2衛,32.72坪,10樓/12樓,42.5年,大樓,3588萬 → 3288萬
QS46199,西門町來來大廈電梯套房,台北市萬華區,台北市萬華區開封街二段​,,11.8坪,6樓/9樓,45.1年,華廈,928萬 → 728萬
YS197336,高樓河岸美景,台北市萬華區,台北市萬華區水源路​,3房(室)2廳2衛,44.13坪,16樓/16樓,28.4年,大樓,2868萬
YS197405,稀有方正邊間低樓層,台北市北投區,台北市北投區民族街​,3房(室)2廳3衛,33.25坪,2樓/4樓,52.3年,公寓,1658萬
WS71094,JZ8林森南京整層商辦,台北市中山區,台北市中山區林森北路​,1房(室)2廳1衛,51.63坪,6樓/12樓,37.3年,大樓,3800萬
ZS187442,白色康寧公寓頂加,台北市內湖區,台北市內湖區康寧路三段​,3房(室)2廳2衛,46.51坪,5樓/5樓,38.9年,公寓,2980萬 → 2300萬
WS71280,文普世貿高樓景觀四房,台北市大安區,台北市大安區基隆路二段​,4房(室)2廳2衛,50.15坪,8樓/12樓,44.7年,大樓,5698萬
ZS200742,民生社區四房美廈,台北市松山區,台北市松山區民生東路五段​,4房(室)2廳2衛,56.78坪,5樓/15樓,43.2年,大樓,4960萬
YS197298,陽明春曉農夫樂土,台北市士林區,台北市士林區力行段二小段​,,330.39坪,,,,368萬
YS189322,低總價捷運溫馨套房,台北市北投區,台北市北投區光明路​,1房(室)1廳1衛,7.69坪,5樓/14樓,21年,大樓,738萬 → 568萬
WS52060,光南靜巷高樓美2房,台北市信義區,台北市信義區基隆路一段​,2房(室)2廳2衛,32.72坪,10樓/12樓,42.5年,大樓,3588萬 → 3288萬
QS46199,西門町來來大廈電梯套房,台北市萬華區,台北市萬華區開封街二段​,,11.8坪,6樓/9樓,45.1年,華廈,928萬 → 728萬
YS197336,高樓河岸美景,台北市萬華區,台北市萬華區水源路​,3房(室)2廳2衛,44.13坪,16樓/16樓,28.4年,大樓,2868萬
YS197405,稀有方正邊間低樓層,台北市北投區,台北市北投區民族街​,3房(室)2廳3衛,33.25坪,2樓/4樓,52.3年,公寓,1658萬
WS71094,JZ8林森南京整層商辦,台北市中山區,台北市中山區林森北路​,1房(室)2廳1衛,51.63坪,6樓/12樓,37.3年,大樓,3800萬
ZS187442,白色康寧公寓頂加,台北市內湖區,台北市內湖區康寧路三段​,3房(室)2廳2衛,46.51坪,5樓/5樓,38.9年,公寓,2980萬 → 2300萬
WS71280,文普世貿高樓景觀四房,台北市大安區,台北市大安區基隆路二段​,4房(室)2廳2衛,50.15坪,8樓/12樓,44.7年,大樓,5698萬
ZS200742,民生社區四房美廈,台北市松山區,台北市松山區民生東路五段​,4房(室)2廳2衛,56.78坪,5樓/15樓,43.2年,大樓,4960萬
YS197298,陽明春曉農夫樂土,台北市士林區,台北市士林區力行段二小段​,,330.39坪,,,,368萬
YS189322,低總價捷運溫馨套房,台北市北投區,台北市北投區光明路​,1房(室)1廳1衛,7.69坪,5樓/14樓,21年,大樓,738萬 → 568萬
WS52060,光南靜巷高樓美2房,台北市信義區,台北市信義區基隆路一段​,2房(室)2廳2衛,32.72坪,10樓/12樓,42.5年,大樓,3588萬 → 3288萬
QS46199,西門町來來大廈電梯套房,台北市萬華區,台北市萬華區開封街二段​,,11.8坪,6樓/9樓,45.1年,華廈,928萬 → 728萬
YS197336,高樓河岸美景,台北市萬華區,台北市萬華區水源路​,3房(室)2廳2衛,44.13坪,16樓/16樓,28.4年,大樓,2868萬
YS197405,稀有方正邊間低樓層,台北市北投區,台北市北投區民族街​,3房(室)2廳3衛,33.25坪,2樓/4樓,52.3年,公寓,1658萬
WS71094,JZ8林森南京整層商辦,台北市中山區,台北市中山區林森北路​,1房(室)2廳1衛,51.63坪,6樓/12樓,37.3年,大樓,3800萬
ZS187442,白色康寧公寓頂加,台北市內湖區,台北市內湖區康寧路三段​,3房(室)2廳2衛,46.51坪,5樓/5樓,38.9年,公寓,2980萬 → 2300萬
WS71280,文普世貿高樓景觀四房,台北市大安區,台北市大安區基隆路二段​,4房(室)2廳2衛,50.15坪,8樓/12樓,44.7年,大樓,5698萬
ZS200742,民生社區四房美廈,台北市松山區,台北市松山區民生東路五段​,4房(室)2廳2衛,56.78坪,5樓/15樓,43.2年,大樓,4960萬
YS197298,陽明春曉農夫樂土,台北市士林區,台北市士林區力行段二小段​,,330.39坪,,,,368萬
YS189322,低總價捷運溫馨套房,台北市北投區,台北市北投區光明路​,1房(室)1廳1衛,7.69坪,5樓/14樓,21年,大樓,738萬 → 568萬
WS52060,光南靜巷高樓美2房,台北市信義區,台北市信義區基隆路一段​,2房(室)2廳2衛,32.72坪,10樓/12樓,42.5年,大樓,3588萬 → 3288萬
QS46199,西門町來來大廈電梯套房,台北市萬華區,台北市萬華區開封街二段​,,11.8坪,6樓/9樓,45.1年,華廈,928萬 → 728萬
YS197336,高樓河岸美景,台北市萬華區,台北市萬華區水源路​,3房(室)2廳2衛,44.13坪,16樓/16樓,28.4年,大樓,2868萬
YS197405,稀有方正邊間低樓層,台北市北投區,台北市北投區民族街​,3房(室)2廳3衛,33.25坪,2樓/4樓,52.3年,公寓,1658萬
WS71094,JZ8林森南京整層商辦,台北市中山區,台北市中山區林森北路​,1房(室)2廳1衛,51.63坪,6樓/12樓,37.3年,大樓,3800萬
ZS187442,白色康寧公寓頂加,台北市內湖區,台北市內湖區康寧路三段​,3房(室)2廳2衛,46.51坪,5樓/5樓,38.9年,公寓,2980萬 → 2300萬
WS71280,文普世貿高樓景觀四房,台北市大安區,台北市大安區基隆路二段​,4房(室)2廳2衛,50.15坪,8樓/12樓,44.7年,大樓,5698萬
ZS200742,民生社區四房美廈,台北市松山區,台北市松山區民生東路五段​,4房(室)2廳2衛,56.78坪,5樓/15樓,43.2年,大樓,4960萬
YS197298,陽明春曉農夫樂土,台北市士林區,台北市士林區力行段二小段​,,330.39坪,,,,368萬
YS189322,低總價捷運溫馨套房,台北市北投區,台北市北投區光明路​,1房(室)1廳1衛,7.69坪,5樓/14樓,21年,大樓,738萬 → 568萬
WS52060,光南靜巷高樓美2房,台北市信義區,台北市信義區基隆路一段​,2房(室)2廳2衛,32.72坪,10樓/12樓,42.5年,大樓,3588萬 → 3288萬
QS46199,西門町來來大廈電梯套房,台北市萬華區,台北市萬華區開封街二段​,,11.8坪,6樓/9樓,45.1年,華廈,928萬 → 728萬
YS197336,高樓河岸美景,台北市萬華區,台北市萬華區水源路​,3房(室)2廳2衛,44.13坪,16樓/16樓,28.4年,大樓,2868萬
YS197405,稀有方正邊間低樓層,台北市北投區,台北市北投區民族街​,3房(室)2廳3衛,33.25坪,2樓/4樓,52.3年,公寓,1658萬
WS71094,JZ8林森南京整層商辦,台北市中山區,台北市中山區林森北路​,1房(室)2廳1衛,51.63坪,6樓/12樓,37.3年,大樓,3800萬
ZS187442,白色康寧公寓頂加,台北市內湖區,台北市內湖區康寧路三段​,3房(室)2廳2衛,46.51坪,5樓/5樓,38.9年,公寓,2980萬 → 2300萬
WS71280,文普世貿高樓景觀四房,台北市大安區,台北市大安區基隆路二段​,4房(室)2廳2衛,50.15坪,8樓/12樓,44.7年,大樓,5698萬
ZS200742,民生社區四房美廈,台北市松山區,台北市松山區民生東路五段​,4房(室)2廳2衛,56.78坪,5樓/15樓,43.2年,大樓,4960萬
YS197298,陽明春曉農夫樂土,台北市士林區,台北市士林區力行段二小段​,,330.39坪,,,,368萬
YS189322,低總價捷運溫馨套房,台北市北投區,台北市北投區光明路​,1房(室)1廳1衛,7.69坪,5樓/14樓,21年,大樓,738萬 → 568萬
WS52060,光南靜巷高樓美2房,台北市信義區,台北市信義區基隆路一段​,2房(室)2廳2衛,32.72坪,10樓/12樓,42.5年,大樓,3588萬 → 3288萬
QS46199,西門町來來大廈電梯套房,台北市萬華區,台北市萬華區開封街二段​,,11.8坪,6樓/9樓,45.1年,華廈,928萬 → 728萬
YS197336,高樓河岸美景,台北市萬華區,台北市萬華區水源路​,3房(室)2廳2衛,44.13坪,16樓/16樓,28.4年,大樓,2868萬
YS197405,稀有方正邊間低樓層,台北市北投區,台北市北投區民族街​,3房(室)2廳3衛,33.25坪,2樓/4樓,52.3年,公寓,1658萬
WS71094,JZ8林森南京整層商辦,台北市中山區,台北市中山區林森北路​,1房(室)2廳1衛,51.63坪,6樓/12樓,37.3年,大樓,3800萬
ZS187442,白色康寧公寓頂加,台北市內湖區,台北市內湖區康寧路三段​,3房(室)2廳2衛,46.51坪,5樓/5樓,38.9年,公寓,2980萬 → 2300萬
WS71280,文普世貿高樓景觀四房,台北市大安區,台北市大安區基隆路二段​,4房(室)2廳2衛,50.15坪,8樓/12樓,44.7年,大樓,5698萬
ZS200742,民生社區四房美廈,台北市松山區,台北市松山區民生東路五段​,4房(室)2廳2衛,56.78坪,5樓/15樓,43.2年,大樓,4960萬
YS197298,陽明春曉農夫樂土,台北市士林區,台北市士林區力行段二小段​,,330.39坪,,,,368萬
YS189322,低總價捷運溫馨套房,台北市北投區,台北市北投區光明路​,1房(室)1廳1衛,7.69坪,5樓/14樓,21年,大樓,738萬 → 568萬
WS52060,光南靜巷高樓美2房,台北市信義區,台北市信義區基隆路一段​,2房(室)2廳2衛,32.72坪,10樓/12樓,42.5年,大樓,3588萬 → 3288萬
